ID,season,episode,name,gender,race,age,meg_comments
1,1.0,1.0,Karen,Female,Black,,
2,1.0,2.0,Jason,Male,White,,
3,1.0,2.0,Amy,Female,White,,
4,1.0,3.0,Daryl,Male,Black,,
5,1.0,4.0,Tracy,Female,White,,
6,1.0,4.0,Venus,Female,Black,,
7,1.0,5.0,Jeannette,Female,White,,
8,1.0,6.0,Peter,Male,White,,
9,1.0,6.0,Cheryl,Female,Black,,
10,1.0,11.0,Patrick,Male,White,,
11,1.0,11.0,Kim,Female,Black,,
12,1.0,12.0,Eric,Male,White,,
13,1.0,13.0,Brian,Male,White,,
14,1.0,13.0,Kathy,Female,White,,
15,1.0,14.0,Horsten,Male,Black,,
16,1.0,15.0,Brett,Male,White,,
17,1.0,16.0,Jamie,Female,White,,
18,1.0,16.0,Brett,Male,White,,
19,1.0,17.0,Lisa,Female,White,,
20,1.0,18.0,Stephanie,Female,White,,
21,1.0,18.0,Daniel,Male,White,,
22,1.0,19.0,Michele,Female,Black,,
23,1.0,20.0,Michael,Male,White,,
24,1.0,20.0,Sheetal,Female,Indian,,
25,1.0,21.0,Laura,Female,White,,
26,1.0,22.0,Hans,Male,White,,
27,1.0,22.0,Tia,Female,Black,,
28,1.0,23.0,Mary,Female,White,,
29,1.0,24.0,Brian,Male,Black,,
30,1.0,25.0,Erin,Female,White,,
31,1.0,25.0,Thorpe,Male,White,,
32,1.0,26.0,Laquisa,Female,Black,,
33,1.0,27.0,Allison,Female,White,,
34,1.0,28.0,Josie,Female,White,,
35,1.0,29.0,Randy,Male,Black,,
36,1.0,30.0,Rebecca,Female,Asian,,
37,1.0,31.0,Anka,Female,White,,
38,1.0,32.0,Gary,Male,White,,
39,1.0,33.0,Shirley,Female,White,,
40,1.0,33.0,Chad,Male,White,,
41,1.0,34.0,Lauren,Female,White,,
42,1.0,35.0,Renee,Female,White,,
43,1.0,36.0,Dana,Female,Black,,
44,1.0,37.0,Jeff,Male,White,,
45,1.0,37.0,Sidney,Female,White,,
46,1.0,38.0,Oscar,Male,Black,,
47,2.0,1.0,Robin,Female,White,,
48,2.0,4.0,Lary,Male,White,,
49,2.0,5.0,Sherry,Female,White,,
50,2.0,6.0,Frankie,Male,White,,
51,2.0,6.0,Malayka,Female,Black,,
52,2.0,7.0,Mike,Male,White,,
53,2.0,8.0,Marty,Male,White,,
54,2.0,8.0,Latasha,Female,Black,,
55,2.0,9.0,Ron,Male,White,,
56,2.0,10.0,Elena,Female,White,,
57,2.0,10.0,Dallas,Female,Latino,,
58,2.0,11.0,Mark,Male,Black,,
59,2.0,12.0,PJ,Female,White,,
60,2.0,13.0,Jim,Male,White,,
61,2.0,13.0,Tammy,Female,White,,
62,2.0,14.0,Nandamiso,Female,Black,,
63,2.0,15.0,Jed,Male,White,,
64,2.0,16.0,Holly,Female,White,,
65,2.0,17.0,Cathy,Female,White,,
66,2.0,17.0,Marco,Male,Latino,,
67,2.0,18.0,Tracee,Female,Black,,
68,2.0,19.0,Kevin,Male,White,,
69,2.0,20.0,Anita,Female,Black,,
70,2.0,21.0,Nicole,Female,White,,
71,2.0,21.0,Miles,Male,Black,,
72,2.0,22.0,Myra,Female,White,,
73,2.0,23.0,Peter,Male,White,,
74,2.0,24.0,Zany,Female,White,20.0,
75,2.0,25.0,Joe,Male,White,,
76,2.0,26.0,Becky,Female,White,,
77,2.0,26.0,Tyra,Female,Black,,
78,2.0,27.0,Brooks,Male,White,,
79,2.0,28.0,Will,Male,White,,
80,2.0,28.0,Karen,Female,White,,
81,2.0,29.0,Bryan,Male,White,,
82,2.0,30.0,Shayla,Female,Black,,
83,2.0,31.0,Skip,Male,White,,
84,2.0,31.0,Lamar,Male,Black,,
85,2.0,32.0,Tommy,Male,White,,
86,2.0,32.0,Shannan,Female,White,,
87,2.0,33.0,Kathy,Female,White,,
88,2.0,34.0,Eric,Male,Black,,
89,2.0,35.0,Amanda,Female,White,,
